symbol,market,strategy,action,score,entry,tp,sl,reason,rsi7,vwap_dev_pct,ema_dev_pct,atr_ratio_pct
DOTUSDT,RANGE,VWAP_2.5,LONG,100.0,0.955,0.99693693,0.95278571,震荡市场中价格显著低于 VWAP，且 RSI 偏低，做多等回归,0.0,-4.2066,-0.8519,0.2319
INJUSDT,RANGE,VWAP_2.5,LONG,100.0,5.043,5.42283921,5.02157143,震荡市场中价格显著低于 VWAP，且 RSI 偏低，做多等回归,3.2258,-7.0044,-0.8697,0.4249
NEARUSDT,RANGE,VWAP_2.5,LONG,100.0,2.1395,2.30549246,2.12903571,震荡市场中价格显著低于 VWAP，且 RSI 偏低，做多等回归,0.0,-7.1999,-0.7521,0.4891
OPUSDT,RANGE,VWAP_2.5,LONG,100.0,0.1026,0.10858908,0.10227857,震荡市场中价格显著低于 VWAP，且 RSI 偏低，做多等回归,20.0,-5.5154,-0.8319,0.3133
AVAXUSDT,RANGE,VWAP_2.5,LONG,99.84,6.073,6.61800011,6.05221429,震荡市场中价格显著低于 VWAP，且 RSI 偏低，做多等回归,16.4706,-8.2351,-0.6973,0.3423
SOLUSDT,RANGE,VWAP_2.5,LONG,99.43,68.74,71.74793131,68.58114286,震荡市场中价格显著低于 VWAP，且 RSI 偏低，做多等回归,0.0,-4.1924,-0.6242,0.2311
ATOMUSDT,RANGE,VWAP_2.5,LONG,99.42,1.8084,1.93111321,1.80471429,震荡市场中价格显著低于 VWAP，且 RSI 偏低，做多等回归,18.2796,-6.3545,-0.6226,0.2038
ADAUSDT,RANGE,VWAP_2.5,LONG,99.24,0.1605,0.17315175,0.16012857,震荡市场中价格显著低于 VWAP，且 RSI 偏低，做多等回归,6.6667,-7.3067,-0.5899,0.2314
SUIUSDT,RANGE,VWAP_2.5,LONG,98.84,0.7092,0.76778241,0.70732857,震荡市场中价格显著低于 VWAP，且 RSI 偏低，做多等回归,0.0,-7.6301,-0.5165,0.2639
LINKUSDT,RANGE,VWAP_2.5,LONG,98.56,7.864,8.13500672,7.848,震荡市场中价格显著低于 VWAP，且 RSI 偏低，做多等回归,7.5758,-3.3314,-0.4659,0.2035
ETHUSDT,RANGE,VWAP_2.5,LONG,98.22,1696.72,1753.69307458,1693.36357143,震荡市场中价格显著低于 VWAP，且 RSI 偏低，做多等回归,0.0,-3.2487,-0.4035,0.1978
XRPUSDT,RANGE,VWAP_2.5,LONG,98.17,1.1299,1.19838959,1.12785,震荡市场中价格显著低于 VWAP，且 RSI 偏低，做多等回归,8.4507,-5.7151,-0.3944,0.1814
BTCUSDT,RANGE,VWAP_2.5,LONG,97.7,62956.7,64882.24098374,62845.80714286,震荡市场中价格显著低于 VWAP，且 RSI 偏低，做多等回归,4.7671,-2.9677,-0.3092,0.1761
BNBUSDT,RANGE,VWAP_2.5,LONG,97.0,577.36,600.96388047,576.535,震荡市场中价格显著低于 VWAP，且 RSI 偏低，做多等回归,20.0,-3.9277,-0.1821,0.1429
APTUSDT,TREND_UP,TrendPullback_Long,LONG,95.02,0.6335,0.63689429,0.63137857,上升趋势中回踩 EMA20，RSI 偏低，顺势做多,9.0909,-4.4735,-0.5495,0.3349
DOGEUSDT,RANGE,VWAP_2.5,LONG,93.28,0.08294,0.08634822,0.08281143,震荡市场中价格显著低于 VWAP，且 RSI 偏低，做多等回归,23.913,-3.9471,-0.2319,0.155
LTCUSDT,TREND_UP,TrendPullback_Long,LONG,85.12,44.25,44.40542857,44.15285714,上升趋势中回踩 EMA20，RSI 偏低，顺势做多,30.0,-1.8609,-0.2192,0.2195
